,prompt,clip_inter
50,happy male chubby strawberry blonde viking with short hair dancing around in meadow holding a bunch of flowers in the style of rutkowski ,"['a man is throwing a frisbee in a field', ' field - blur', ' blurry image', ' deblurring', ' photo blurring', ' beautiful surroundings', ' slightly out of focus', ' blurry photography', ' blurred photo', ' deblur', ' blurry photo', ' unblur', ' very shallow depth of field', ' not blurry', ' slightly blurred', ' severe out of focus', ' blurry', ' heavy jpeg artifact blurry']"
51,"girl stands in a japanese street - poster by wlop, kiyohara tama, krenz cushart, masamune shirow, makoto shinkai, yanjun cheng. featured on pixiv, anime aesthetic, pixiv, anime, cold tones, artstation, power lines, vanitas, official art, gothic dark. noise film photo - up portrait h 7 0 4","['a woman in a white dress is walking down a street', ' anime poster film still portrait', ' anime still film anime shikishi', ' in style of makoto shinkai', ' ( ( makoto shinkai ) )', ' makoto shinkai!!', ' makoto shinkai. digital render', ' makoto shinkai!', ' makoto shinkai style', ' makoto shinkai art style']"
52,simple yellow hexagon beehive tattoo ,"['a woman with a yellow and black umbrella tattoo on her arm', ' geometric tattoos', ' half life logo on chest', ' tattoos of star wars symbols', ' tattoo on shoulder', ' shoulder tattoo', ' by Stefan Gierowski', ' surreal black and yellow', ' geometrically realistic', ' by Justin Sweet', ' tattoo on upper arm', ' by Nathan Oliveira', ' by Samuel Silva', ' black and yellow colors']"
53,"a man playing an invisible cello to destroy demons, demons surround the man, spiritual emanations, resonating sound energy, roses, rain, cafe setting, beautiful classical ornament, framed, tarot card, immense landscape, alpay efe, wlop, alessio albi ","['a man standing in front of a painting of roses', ' dramatic artwork', ' photomanipulation', ' mixed media photography', ' romanticism artwork', ' emotional surrealist art', ' surreal composition', ' surreal art', ' surreal glimpse', ' surrealist conceptual art', ' hauntingly surreal', ' inspired by Igor Morski', ' surrealist photography', ' album art', ' surreal collage', ' surreal photo']"
54,"animation still frame of a puppy eating a bowl of spaghetti, high angle closeup portrait, blurry background of the library, disney, pixar, bloom, medium shot, dramatic lighting, in the style of studio ghibli, j. c. leyendecker, greg rutkowski, artgerm ","['a dog is eating spaghetti out of a bowl', ' anthropomorphic dog eating', ' adorable digital painting', ' eating spaghetti', ' slurping spaghetti', ' eating spaghetti from a bowl', ' ultrarealistic illustration', ' spaghetti', "" mom's spaghetti he's nervous"", ' cute detailed digital art', ' ultra realistic illustration', ' cute 3 d render', ' realistic illustration', ' eating noodles', ' photorealistic illustration', ' hyperrealistic illustration']"
55,"milhouse van houten, hyperrealistic, volumetric golden dappled dynamic lighting, highly detailed, sharp focus, by victo ngai, artgerm ","['a man with glasses and a yellow shirt', ' nft portrait', ' digital illustration portrait', ' digital portrait', ' stylized portrait', ' drawn with photoshop', ' digital illustration', ' digitalportrait', ' cartoon portrait', ' 2d portrait', ' high quality portrait', ' realistic self portrait', ' digital art portrait', ' ai self portrait', ' character portrait of me', ' stylized portrait h 640']"
56,manmadetexture pbr materials procedural tile patern substance photo game cg textures. com gametextures studio resource image handpaint ,"['a series of four pictures of a stone wall', ' dystopian floor tile texture', ' hand painted textures', ' ancient stone tiling', ' tiling texture', ' stylized stone cladding texture', ' pearly flagstones', ' flagstones', ' painted texture maps', ' floor texture', ' stone floor', ' stylised hand painted textures', ' stylised textures', ' highly detailed texture', ' stone texture', ' high quality textures']"
57,"jaden smith symmetric portrait as egyptian, front view, white tunic, meadow background, highly detailed, sharp focus, illustration, art by aleksi briclot, magali villeneuve, greg rutkowski, alfons mucha ","['a painting of a young man in a field', ' portrait of willow smith', ' inspired by Thomas Blackshear', ' portrait willow smith', ' maximus jacobs', ' will smith portrait', ' from kehinde wiley', ' high quality portrait', ' portrait of ultra realistic', ' inspired by Dino Valls', ' in style of tyler mitchell', ' realism art', ' by Barkley Hendricks', ' kehinde wiley']"
58,"portrait of a confident and mature looking northern blond lady in black bdsm leather mask, beautiful blue eyes and red lips, fit abs and body, art by artgerm and greg rutkowski and magali villeneuve, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, masterpiece ","['a woman dressed in a black leather outfit', ' artgerm julie bell beeple', ' wlop and artgerm', ' alena aenami and artgerm', ' portrait of a cyborg queen', ' artgerm style', ' artgerm and warren louw', ' artgerm and grek rutkowski', ' artgerm greg rutkowski _ greg', ' artgerm art']"
59,"an epic artistic colourful natural scene on an alien planet. organic weird landscape. beautiful very detailed digital artwork by vincent bons, michael whelan, remedios varo and gerardo dottori. grainy and rough. interesting pastel colour palette. beautiful light. oil and water colour based on high quality render. ray tracing. beams. ","['a painting of a desert with trees and rocks', ' amazing alien landscape', ' alien landscape', ' an alien landscape', ' beautiful alien landscape', ' stunning alien landscape', ' surreal alien kingdom', ' turbulent alien vivid landscape', ' alien breathtaking landscape', ' an alien landscape view', ' lush alien landscape', ' inspired by tomasz alen kopera', ' strange alien forest', ' alien desert', ' alien environment']"
60,self - portrait in the park ; giovanni boldini ; impressionism ; 1 9 2 1 ,"['a painting of a man sitting on a bench', ' felix vallotton', ' by Leonid Pasternak', ' valentin serov style', ' by Károly Ferenczy', ' by Ramon Casas i Carbó', ' self - portrait', ' self-portrait', ' inspired by Leonid Pasternak', ' by Gustave Caillebotte']"
61,"bismuth stellations by m. c. escher, endre rozsda, hilma af klint, wu guanzhong. ink and wash painting, calligraphy, vibrant, woodblock, ink, geometric, 3 d, cherenkov radiation. ","['a painting of a blue and yellow flower', ' by Yoshio Markino', ' by Hiromu Arakawa', ' style of yoshitaka amano', ' range murata yoshitaka amano', ' yoshitaka amano vibe', ' amano yoshitaka', ' kentaro miura art', ' bastien yoshitaka amano']"
62,belgian shepherd malinoix playing in a punk rock group called ruin ,"['a black and brown dog sitting in a field', ' german shepherd', ' regal pose', ' looking to his left', ' photo of ghost of anubis', ' 2 years old', ' a handsome', ' extremely handsome', ' very handsome', ' closeup portrait shot', ' black ears', ' proud looking away', ' stunning!', ' shadow', ' canine', ' bella', ' looking to his side', ' k9', ' looking off to the side']"
63,portrait of andre the giant in the style of studio ghibi ,"['a painting of a man with curly hair', ' big moe', ' andre the giant', ' by Warren Mahy', ' painted todd lockwood', ' inspired by Malcolm Morley', ' by Greg Staples', ' by Craig Thompson', ' inspired by Russell Drysdale', ' movie scene portrait closeup', ' by Mitchell Johnson', ' by Lee Loughridge', ' beatufil painting', ' great likeness', ' peter driben']"
64,"nordic mire, brown bear, scenic sunrise, hdr, photorealism, mist, enchanting scenery, nikon d 8 5 0, wide lens, sigma 5 5 ","['a pond in a field with mountains in the background', ' nordic landscape', ' by Harald Giersing', ' by Anton Lehmden', ' by Sebastian Spreng', ' by Erik Pevernagie', ' by Andrei Kolkoutine', ' norwegian landscape', ' taiga landscape', ' northern finland', ' by Eero Snellman', ' lapland', ' by Johan Lundbye', ' by Olaf Gulbransson']"
65,"eiffel tower in paris, art by artgerm and greg rutkowski and magali villeneuve, d & d, fantasy, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration ","['the eiffel tower is lit up at sunset', ' inspired by Jules Chéret', ' inspired by Vincent Lefevre', ' concept art oil painting', ' concept art | rhads', ' inspired by Marius Borgeaud', ' silvain sarrailh', ' inspired by Jean Béraud', ' jessica rossier fantasy art', ' dramatic concept art', ' concept art painting']"
66,"only with red, a red faceless king, in a red throne room, a red majestic kingdom but decadent, many skeletons, in the style of beksinski, parts by edward hopper, parts by michael sowa, parts by yue minjun, intricate and mindblowing composition by bosch, red by caravaggio, high quality, high details, masterpiece, red light, artstation,","['a painting of a skeleton and a bunch of dead animals', ' skeletons', ' skeletal omens', ' all skeletons', ' macabre art', ' skeletal figures', ' sebastian kruger', ' skeletons rising from the dead', ' dug stanat macabre art', ' bekskinski', ' volcanic skeleton', ' with a skeleton army', ' michael hussar', ' thomas eakins and beksinski', ' michael hutter', ' very creepy']"
67,"photograph, bladerunner city at night, neon pink undertones, sidewalk view ","['a city at night with neon signs and a car', ' cyberpunk hiroshima', ' futuristic cyberpunk tokyo night', ' in cyberpunk city', ' neon tokyo', ' neon city', ' vaporwave city', ' cyberpunk streets in japan', ' cyberpunk dreamscape', ' at cyberpunk city', ' cyberpunk aesthetic', ' aesthetic cyberpunk', ' cyberpunk lights', ' tokyo futuristic and clean', ' cyberpunk aesthetics', ' cyberpunk vibes', ' cyberpunk city', ' cyberpunk street']"
68,picture of a 3 d rendered golden number 6 on a white background. small text saying 4 is at the bottom of the image. ,"['a number of yellow numbers on a black surface', ' ƒ5.6', ' c 4 d ”', ' typographical experiments', ' 3 6 years old', ' numerology', ' c 4 d style', ' yellow calibri font', ' numerical', ' -n 6', ' - n 6', ' iso640', ' nd 6', ' no numbers', ' iso', ' 4 k detail', ' 4k detail']"
69,full body concept art of elizabeth olsen as scarlet witch holding [ magic in hands ]! symmetry!! golden ratio concept art!! trending on artstation 3 2 k trending on cgsociety intricate artstation hd artstation portraits cgsociety contest winner hd bright lovely atmosphere mucha winkelmann rutkowski wlop artgerm ,"['a woman in a red cape standing next to a woman in a red cape', ' scarlet witch marvel', ' scarlet witch', ' elizabeth olsen as scarlet witch', ' wanda maximoff', ' emma watson as the scarlet witch', ' scarlet witch costume', ' in style of marvel and dc', ' marvel concept art', ' marvel art', ' in style of marvel', ' in style of marvel comics', ' fan art']"
70,surrealist painting of the colors blue and yellow fighting each other with exploding fists ,"['a painting of a group of people on a blue background', ' inspired by Yves Klein', ' inspired by Nicolas Poussin', ' blue and yellow fauna', ' triumphant', ' by Zoran Mušič', ' yellow and blue', ' blue and yellow', ' some yellow and blue', ' inspired by Jean Arp', ' yellow and blue and cyan', ' inspired by Willem de Kooning', ' sky']"
71,"cute kawai young dragon lizard, league of legends hero, hearthstone character, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha, 8 k ","['a dragon with a flame in its hand', ' by Adam Marczyński', ' fantasy card game art', ' epic fantasy card game art', ' d&d commision art dragon', ' magic the gathering card art', ' by Kerembeyit', ' realistic fantasy illustration', ' collectible card art', ' dragon portrait', ' epic fantasty card game art', ' hyperrealistic d & d fantasy art']"
72,"grainy vintage illustration of flash gordon drinking a coke in a public bathroom, newspaper advertisement ","['a cartoon of a man holding a megaphone', ' by Bob Singer', ' the artist is charles burns', ' dave sim', ' charles burns', ' inspired by Milton Caniff', ' by Al Feldstein', ' steve purcell', ' by Roy Dalgarno', ' by Steve Brodner', ' inspired by Alex Toth', ' mark schultz', ' by Hugh Hughes', ' ( art fitzpatrick )', ' by Carl Eytel']"
73,"portrait of young gauchos wearing pilcha while walking in a verdant, verdurous brazilian steppe, intricate, very detailed, jodhpurs greg manchess painting by sargent and leyendecker, studio ghibli fantasy close - up shot asymmetrical intricate elegant matte painting illustration hearthstone, by greg rutkowski by greg tocchini by james gilleard ","['a painting of two men riding horses in a field', ' mexican vaquero', ' james gurney painting style', ' western art', ' craig mullins dappled lighting', ' style of raphael lacoste', ' western painting', ' colonial expedition', ' inspired by Enrique Simonet', ' martin raphael lacoste', ' inspired by N.C. Wyeth', ' inspired by N. C. Wyeth']"
74,"alexandra daddario in mirrors, pretty face, close, cinematic moody colors, realistic shaded lighting, cinematic wallpaper by stanley artgerm lau ","['two women with blue eyes are staring at each other', ' beautiful gemini twins portrait', ' beautiful gemini good and evil', ' beautiful gemini twins', ' pale skin and dark eyes', ' beautiful highly symmetric faces', ' cute face. dark fantasy', ' portrait of evil girl', ' surreal beautiful young woman', ' beautiful eyes. symmetry', ' girl with white eyes', ' realistic female faces', ' expressive eyes. symmetry']"
75,henri rosseau. a jungle in the twilight sun. lots of colorful flowers and animals. a small pond with frogs. ,"['a painting of a jungle with a pond and lots of flowers', ' jungle scene', ' mysterious jungle painting', ' colourful jungle', ' peter driben', ' the jungle at the background', ' jungle', ' jungle landscape', ' jane newland', ' in style of henri rousseau', ' painting of a forest', ' tropical forest', ' fantasy jungle', ' inspired by Paul Ranson', ' by Paul Ranson', ' laurent durieux']"
76,"evil occult grimoire, painted cover laughing, 4 k ultra realistic detailed 8 k sensation of dread artstation trending dramatic lighting contrasting light and dark style photorealism cinematic magic colorful wonder by h. p. lovecraft elden ring ","['a painting of a demon with a full moon in the background', ' green goblin portrait', ' inspired by Jeff Easley', ' the green goblin', ' green goblin', ' horror fantasy art', ' goblin art', ' portre of a psyschonaut demon', ' wide evil grin', ' fantasy horror art', ' is evil gremlin', ' medium portrait of a goblin', ' by Todd Lockwood', ' vampire', ' demonic creature']"
77,"full - length impressionist portrait. an emo. short dark brown messy pixie haircut, large eyes, black eyes, antichrist eyes, slightly rounded face, pointed chin, thin lips, small nose, black tank top, black leather jacket, black knee - length skirt, black choker. ","['a painting of a woman with black makeup', ' girl with black hair', ' woman with black hair', ' fully clothed. painting of sexy', ' clothed! oil on canvas', ' clothed non - nude portrait', ' painting of a woman', ' makoto oil painting', ' clothed!! oil on canvas', ' mona lisa as a goth girl', ' black velvet painting', ' portrait of lain iwakura']"
78,"cloth, white fabric coat, jodhpurs high black or brown lether boots and belts, fashion retro, elegant long hair brunette young girl, dark fantasy traveler, sunset light, geometrical low poly, dainty renaissance portrait by michael garmash, greg rutkowski, gaston bussiere, rhads, craig mullins ","['a woman holding a tennis racquet on top of a mountain', ' alena aenami and artgerm', ' rhads and lois van baarle', ' alphonse mucha and alena aenami', ' gorgeous digital painting', ' inspired by Francesco Hayez', ' inspired by Carl Heinrich Bloch', ' inspired by Cornelis van Poelenburgh', ' inspired by Mead Schaeffer']"
79,"cute fluffy grey tabby border collie and tan lop eared bunny rabbit hybrid mixed creature character concept, with long flowing fur, wearing headdress of tribal peacock feathers and flowers, detailed painting, renaissance, 4 k lovecraft!! dark omnious atmosphere tentacles!! ","['a drawing of a rabbit with long hair', ' anthropomorphic rabbit', ' cute anthropomorphic bunny', ' furry fantasy art', ' fursona furry art commission', ' furry art!!!', ' furry character portrait', ' the bunny has pink fur', ' furry digital art', ' disney stylized furry', ' very very beautiful furry art', ' with pointy ears', ' fursona art', ' fursona commission']"
80,"a retro minimalistic fire flame warning caution label enamel pin, hd, concept art, artstation ","['a red and black fire badge on a table', ' (fire)', ' fire', ' crimson fire head', ' emblem', ' fire theme', ' firey', ' blazing fire', ' fire stainglass', ' red flames', ' custom', ' badge', ' flames', ' fire red', ' official product photo', ' flame', ' red flames in background', ' small fire', ' burning fire', ' fire in the background', ' full product shot']"
81,"realistic portrait of an ethiopian knight in a byzantine mosaic, very detailed, very realistic, elegant, top art, renowed artwork ","['a painting of a woman with a cross in her hands', ' inspired by Nicomachus of Thebes', ' inspired by Mati Klarwein', ' african iconography', ' inspired by Leo and Diane Dillon', ' inspired by Taddeo Gaddi', ' portrait of saint of the pit', ' mosaic', ' patron saint of 🛸🌈👩🏾', ' a mosaic', ' by Mati Klarwein']"
82,the fool tarot by roberto matta ,"['a painting of a man and a woman', ' inspired by Wilfredo Lam', ' cubism style', ' cubist picasso', ' abstract painting of man on fire', ' inspired by Wifredo Lam', ' by Wilfredo Lam', ' similar aesthetics to picasso', ' a cubist painting', ' by Wifredo Lam', ' picasso style', ' metzinger', ' inspired by Amadeo de Souza Cardoso']"
83,"kodak portra 4 0 0, wetplate, muted colours, blueberry, 1 9 2 0 s style, long shot, macro photo of a colourful 1 9 2 0 s handsome chubby 1 6 yo bavarian cowherd girl posing in a beautiful flower meadow in the bavarian alps, mountain panorama, motion blur, tiny gaussian blur, depth of field ","['a man standing in a field of flowers', ' in a field of flowers', ' in a field with flowers', ' standing in a flower field', ' sitting in a field of flowers', ' standing in flower field', ' standing in a field with flowers', ' in a meadow', ' fat woman', ' a portrait of a plump woman', ' girl frontal in a flower field', ' a goddess in a field of flowers']"
84,back view of a woman war hero standing before an erupting volcano cinematic theatrical lighting dramatism anton fadeev greg rutkowski intricate 3 2 k trending on artstation cgsociety contest winner award winning golden ratio centered minutia details ,"['a couple of women standing next to each other', ' jen bartel', ' concept art | rhads', ' alena aenami and android jones', ' by sylvain sarrailh', ' rhads and lois van baarle', ' anato finnstark and alena aenami', ' inspired by sylvain sarrailh', ' digital painting concept art', ' atey ghailan 8 k']"
85,a panicked woman in a corridor wearing a green ball gown and emerald necklace. blood stains on her face. terrified look. long chestnut hair. photograph by vittorio matteo corcos ,"['a couple of creepy dolls hanging on a wall', ' ghostly figures', ' spirits covered in drapery', ' creepy!!', ' very creepy', ' ghostly spirits', ' horror photography', ' alexandra fomina', ' benjamin vnuk', ' creepy surrealism', ' vintage horror', ' by Albert Keller', ' sinister photo', ' horror photo', ' sergey zabelin', ' very very creepy', ' several dolls in one photo', ' inspired by Kati Horna']"
86,"a painting of a japanese demon by kentaro miura, inking, high detail, trending on artstation ","['a black and white drawing of a monster', ' mark riddick', ' inspired by katsuya terada', ' azathoth', ' highly detailed dark art', ' detailed ink drawing', ' inspired by Ian Miller', ' detailed cover artwork', ' intricate hyper detail', ' unholy abomination', ' insanely detailed linework', ' ink artwork', ' detailed ink illustration', ' chtulhu', ' in style of katsuya terada']"
87,"collision of [ earth and mars ]!!, view from space!!, trending on artstation!!, astrophotography!!, contest winner, award winning, sharp, intricate, detailed, digital art, 4 k, cinematic still, theatrical atmosphere, sci - fi art, dark fantasy, wide screen, wide angle ","['a view of a red planet with a small object in the foreground', ' on the orange surface of mars', ' sunset on mars', ' mars landscape', ' overlooking martian landscape', ' on the surface of mars', ' martian landscape', ' mars as background', ' mars setting', ' mars', ' mars aerial photography', ' standing on a martian landscape', ' martian sands background', ' planet mars in the background']"
88,bloodborne kart ,"['a couple of people standing in front of a castle', ' from software game', ' bloodborne style', ' bloodborne art', ' bloodborne', ' fromsoftware', ' bloodborne concept art', ' bloodborne cathedral', ' screenshot from bloodborne', ' bloodborne monster', ' dark soul concept art', ' sekiro in bloodborne world', ' in style of dark souls 3', ' portrait of a bloodborne hunter']"
89,"beautiful landscape, beauty, ornate robe. fractal bells, rule of thirds. intricate environment, art by victo ngai, rossdraws, thomas kinkade, ilya kuvshinov, peter mohrbacher, craig mullins. unreal engine 5, blender, octane, ray tracing, dramatic studio lighting, sharp focus, masterpiece, post processing ","['a couple of people standing on top of a lush green hillside', ' paul lehr and beeple', ' beeple and jean giraud', ' beeple and tim hildebrandt', ' beeple and alphonse mucha', ' japonisme 3 d 8 k ultra detailed', ' cinematic beeple', ' ross tran and michael whelan', ' beeple and mike winkelmann']"
90,"[ full - body portrait of a man ]! with a disdain, exacerbated facial expression, wearing a [ white robe ]!, trending on [ artstation ]!, digital art, cgsociety contest winner, [ symmetrical ]!, golden ratio!, award winning, bioluminescent colors, volumetric lighting, afrofuturism ","['a man in a bathrobe standing in front of a glowing angel', ' wearing nanotech honeycomb robe', ' long flowing white robe', ' wearing a long flowing robe', ' wearing white robe', ' wearing a white robe', ' clad in robes', ' wearing long white robe', ' flowing white robes', ' covered in robes', ' in robes', ' dressed in white robes', ' wearing white robes!', ' wearing white robes']"
91,"landscape by piotr jabłonski, artstation, ultra detailed, 8 k ","['a painting of a stream running through a forest', ' fantasy art landscape', ' fantasy landscape painting', ' fantasy digital painting', ' realistic landscape', ' inspired by Andreas Rocha', ' forest clearing landscape', ' fantasy forest landscape', ' moody misty fantasy art', ' background artwork', ' photorealistic landscape', ' wlop and rhads', ' matte digital painting', ' highly realistic concept art', ' 4k hd matte digital painting']"
92,"figurativism tasteful portrait of a young dude 1 9 years old, with lemon ","['a painting of a woman with two lemons', ' john currin', ' inspired by Antonio Donghi', ' portrait a 1 5 - year - old boy', ' inspired by William McGregor Paxton', ' inspired by Johann Friedrich Overbeck', ' portrait of 1 5 - year - old boy', ' anton', ' inspired by Ridolfo Ghirlandaio', ' wearing a lemon']"
93,"rick sanchez in lab suit, face to camera walking in a field. france, dordogne, hills, ultra high, face to camera, detail, 8 k, sunset, flowers, trees, river, hills, octane render. ","['a man walking through a field of flowers', ' boris johnson as rick sanchez', ' photo of boris johnson running', ' boris johnson as neo from matrix', ' rick sanchez in real life', ' white hair floating in air', ' foxish guy in a lab coat', ' kid and mad scientist walking', ' inspired by Ben Zoeller', ' standing in a flower field', ' scientist']"
94,futuristic robot alien invasion award winning pixar movie poster ,"['a poster for the animated animated movie robots', ' animation film', ' 3 d animated movie', ' movie promotional image', ' tiny robots', ' animated film', ' movie promotional art', ' animation printed poster', ' animated movie', ' full of insect robots', ' small robots', ' army of robots', ' robots', ' who is a robot”', ' movie artwork', "" children's animated films"", ' animated movie still', ' promotional art']"
95,"highly detailed interior rendering of a beautiful luxurious house, unreal engine, by peter guthrie ","['a large room with a lot of windows', ' art nouveau octane render', ' volumetric lighting. fantasy', ' dramatic lighting render', ' ambient occlusion render', ' rendered in unreal engine 3', ' render in vray', ' rendered in unreal engine 3d', ' unreal engine 3 d render', ' vray rendered', ' an ambient occlusion render', ' rendered in vray', ' highly detailed 3d render']"
96,"a sad tiny cute chipmunk inside a prison cell behind bars, big eyes, cute face ","['a small animal in a cage looking through the bars', ' closeup photo', ' photo of a hamster', ' behind bars', ' rodent', ' closeup shot', ' hamster', ' close - up photo', ' close-up photo', ' mouse photo', ' closeup of an adorable', ' close up photo', ' close-up shot', ' close - up shot', ' closeup!!', ' photo illustration', ' closeup!!!!!', ' closeup portrait shot']"
97,"a biomechanical raspberry made of metal, reflective ","['a red object on a table with a green background', ' covered with ferrofluid. dslr', ' drooling ferrofluid. dslr', ' colorful ferrofluid armor', ' cyberpunk pincushion lens effect', ' made of ferrofluid', ' spike shell', ' from side', ' ferrofluid', ' floating metallic objects', ' a wide shot', ' shot with hasselblade camera', ' drooling ferrofluid', ' ornate egg']"
98,"cyberpunk coral alucard, highly detailed, digital painting, trending on artstation, concept art, sharp focus, illustration, art by artgerm and greg rutkowski and magali villeneuve ","['a woman with headphones and a gun', ' cyberpunk dude', ' cyberpunk art style', ' cyberpunk futuristic neo', ' cyberpunk portrait', ' has cyberpunk style', ' cyberpunk futuristic', ' cyberpunk face', ' cyberpunk vibes', ' cyberpunk character', ' cyberpunk themed art', ' cyberpunk hero', ' hyper-realistic cyberpunk style', ' cyberpunk 2077 rossdraws', ' cyberpunk digital art', ' cyberpunk horror style', ' in cyberpunk style']"
99,"long distance shot of a tiny cute polar bear on a tiny iceberg in the middle of the ocean, sunset, atmospheric, hazy ","['a polar bear standing on top of an iceberg', ' polar', ' polar bear', ' polar bear in the far background', ' by Johan Lundbye', ' award winning nature photo', ' global warming', ' arctic', ' award winning nature photograph', ' by Harald Giersing', ' luminist polar landscape', ' award - winning photo. ”', ' award - winning photo ”', ' by Jim Murray', ' by Josef Dande']"
